year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2021,"Great Tinamou",Tinamus major,3,60,0.05
2021,"Little Tinamou",Crypturellus soui,11,60,0.18333333333333332
2021,"Blue-winged Teal",Anas discors,13,60,0.21666666666666667
2021,"Blue-winged x Green-winged Teal (hybrid)",Anas discors x crecca,1,60,0.016666666666666666
2021,"Ring-necked Duck",Aythya collaris,1,60,0.016666666666666666
2021,"Gray-headed Chachalaca",Ortalis cinereiceps,39,60,0.65
2021,"Crested Guan",Penelope purpurascens,25,60,0.4166666666666667
2021,"Marbled Wood-Quail",Odontophorus gujanensis,9,60,0.15
2021,"Spotted Wood-Quail",Odontophorus guttatus,6,60,0.1
2021,"Least Grebe",Tachybaptus dominicus,2,60,0.03333333333333333
2021,"Neotropic Cormorant",Phalacrocorax brasilianus,6,60,0.1
2021,"Cattle Egret",Bubulcus ibis,29,60,0.48333333333333334
2021,"Green Heron",Butorides virescens,1,60,0.016666666666666666
2021,"Boat-billed Heron",Cochlearius cochlearius,15,60,0.25
2021,"Green Ibis",Mesembrinibis cayennensis,1,60,0.016666666666666666
2021,"Black Vulture",Coragyps atratus,64,60,1.0666666666666667
2021,"Turkey Vulture",Cathartes aura,41,60,0.6833333333333333
2021,"King Vulture",Sarcoramphus papa,2,60,0.03333333333333333
2021,"Black Hawk-Eagle",Spizaetus tyrannus,3,60,0.05
2021,"Ornate Hawk-Eagle",Spizaetus ornatus,1,60,0.016666666666666666
2021,"Double-toothed Kite",Harpagus bidentatus,1,60,0.016666666666666666
2021,"Roadside Hawk",Rupornis magnirostris,15,60,0.25
2021,"White Hawk",Pseudastur albicollis,1,60,0.016666666666666666
2021,"Broad-winged Hawk",Buteo platypterus,5,60,0.08333333333333333
2021,"Swainson's Hawk",Buteo swainsoni,1,60,0.016666666666666666
2021,"Red-tailed Hawk",Buteo jamaicensis,1,60,0.016666666666666666
2021,"White-throated Crake",Laterallus albigularis,3,60,0.05
2021,"Gray-necked Wood-Rail",Aramides cajaneus,12,60,0.2
2021,"Purple Gallinule",Porphyrio martinicus,5,60,0.08333333333333333
2021,"Southern Lapwing",Vanellus chilensis,2,60,0.03333333333333333
2021,"Northern Jacana",Jacana spinosa,1,60,0.016666666666666666
2021,"Band-tailed Pigeon",Patagioenas fasciata,4,60,0.06666666666666667
2021,"Ruddy Pigeon",Patagioenas subvinacea,6,60,0.1
2021,"Short-billed Pigeon",Patagioenas nigrirostris,4,60,0.06666666666666667
2021,"Ruddy Ground-Dove",Columbina talpacoti,10,60,0.16666666666666666
2021,"Ruddy Quail-Dove",Geotrygon montana,1,60,0.016666666666666666
2021,"White-tipped Dove",Leptotila verreauxi,14,60,0.23333333333333334
2021,"Gray-chested Dove",Leptotila cassinii,2,60,0.03333333333333333
2021,"Squirrel Cuckoo",Piaya cayana,11,60,0.18333333333333332
2021,"Smooth-billed Ani",Crotophaga ani,4,60,0.06666666666666667
2021,"Tropical Screech-Owl",Megascops choliba,2,60,0.03333333333333333
2021,"Mottled Owl",Ciccaba virgata,2,60,0.03333333333333333
2021,"Black-and-white Owl",Ciccaba nigrolineata,1,60,0.016666666666666666
2021,"Common Pauraque",Nyctidromus albicollis,25,60,0.4166666666666667
2021,"White-collared Swift",Streptoprocne zonaris,52,60,0.8666666666666667
2021,"Vaux's Swift",Chaetura vauxi,16,60,0.26666666666666666
2021,"Costa Rican Swift",Chaetura fumosa,13,60,0.21666666666666667
2021,"White-necked Jacobin",Florisuga mellivora,1,60,0.016666666666666666
2021,"Green Hermit",Phaethornis guy,18,60,0.3
2021,"Stripe-throated Hermit",Phaethornis striigularis,12,60,0.2
2021,"Brown Violetear",Colibri delphinae,1,60,0.016666666666666666
