COM_NAME,CountYear,how_manyCW,NumberByPartyHours,Flags
"Great Tinamou
[Tinamus major]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",3,0.05,
"Little Tinamou
[Crypturellus soui]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",11,0.1833,
"Blue-winged Teal
[Anas discors]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",13,0.2167,
"Blue-winged x Green-winged Teal (hybrid)
[Anas discors x crecca]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",1,0.0167,
"Ring-necked Duck
[Aythya collaris]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",1,0.0167,
"Gray-headed Chachalaca
[Ortalis cinereiceps]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",39,0.65,
"Crested Guan
[Penelope purpurascens]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",25,0.4167,
"Marbled Wood-Quail
[Odontophorus gujanensis]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",9,0.15,
"Spotted Wood-Quail
[Odontophorus guttatus]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",6,0.1,
"Least Grebe
[Tachybaptus dominicus]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",2,0.0333,
"Neotropic Cormorant
[Phalacrocorax brasilianus]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",6,0.1,
"Cattle Egret
[Bubulcus ibis]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",29,0.4833,
"Green Heron
[Butorides virescens]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",1,0.0167,
"Boat-billed Heron
[Cochlearius cochlearius]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",15,0.25,
"Green Ibis
[Mesembrinibis cayennensis]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",1,0.0167,
"Black Vulture
[Coragyps atratus]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",64,1.0667,
"Turkey Vulture
[Cathartes aura]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",41,0.6833,
"King Vulture
[Sarcoramphus papa]","2021 [122]
Count Date: 12/18/2021
# Participants: 20
# Species Reported: 267
Total Hrs.: 60.00",2,0.0333,
